problem_id,contestId,index,name,rating,tags
2162-H,2162,H,Beautiful Problem,,dp
2162-G,2162,G,Beautiful Tree,,"constructive algorithms,math,trees"
2162-F,2162,F,Beautiful Intervals,,"constructive algorithms,greedy"
2162-E,2162,E,Beautiful Palindromes,,"constructive algorithms,greedy,schedules"
2162-D,2162,D,Beautiful Permutation,,"binary search,interactive"
2162-C,2162,C,Beautiful XOR,,"bitmasks,constructive algorithms,greedy"
2162-B,2162,B,Beautiful String,,"brute force,constructive algorithms"
2162-A,2162,A,Beautiful Average,,"brute force,greedy"
2160-C,2160,C,Reverse XOR,,bitmasks
2160-B,2160,B,Distinct Elements,,"greedy,math"
2160-A,2160,A,MEX Partition,,math
2159-F,2159,F,Grand Finale: Snakes,,"binary search,interactive,ternary search"
2159-E,2159,E,Super-Short-Polynomial-San,,"math,meet-in-the-middle"
2159-D2,2159,D2,Inverse Minimum Partition (Hard Version),,"dp,greedy,math"
2159-D1,2159,D1,Inverse Minimum Partition (Easy Version),,"binary search,brute force,dp,geometry,greedy,math,two pointers"
2159-C,2159,C,Twin Polynomials,,"combinatorics,graph matchings,math"
2159-B,2159,B,Rectangles,,"brute force,data structures,dp,dsu,greedy,implementation,two pointers"
2159-A,2159,A,MAD Interactive Problem,,"constructive algorithms,implementation,interactive"
2155-F,2155,F,Juan's Colorful Tree,2800,"data structures,dfs and similar,dfs and similar,dsu,graphs,graphs,meet-in-the-middle,trees"
2155-E,2155,E,Mimo & Yuyu,2200,"games,greedy,math"
2155-D,2155,D,Batteries,1800,"brute force,constructive algorithms,graph matchings,graphs,interactive,math"
2155-C,2155,C,The Ancient Wizards' Capes,1500,"brute force,greedy,implementation"
2155-B,2155,B,Abraham's Great Escape,1100,"constructive algorithms,graphs"
2155-A,2155,A,El fucho,800,"implementation,math"
2154-F2,2154,F2,Bombing (Hard Version),,"combinatorics,dp"
2154-F1,2154,F1,Bombing (Easy Version),,combinatorics
2154-E,2154,E,No Mind To Think,,"binary search,greedy,ternary search"
2154-D,2154,D,Catshock,,"constructive algorithms,dfs and similar,trees"
2154-C2,2154,C2,No Cost Too Great (Hard Version),,"greedy,implementation,math,number theory"
2154-C1,2154,C1,No Cost Too Great (Easy Version),,"greedy,implementation,number theory"
2154-B,2154,B,Make it Zigzag,,"constructive algorithms,greedy"
2154-A,2154,A,Notelock,,"greedy,two pointers"
2153-F,2153,F,Odd Queries on Odd Array,,"bitmasks,brute force,data structures,implementation,trees"
2153-E,2153,E,Zero Trailing Factorial,,"brute force,math,number theory"
2153-D,2153,D,Not Alone,,"dp,greedy"
2153-C,2153,C,Symmetrical Polygons,,"constructive algorithms,geometry,greedy,implementation,sortings"
2153-B,2153,B,Bitwise Reversion,,"bitmasks,greedy"
2153-A,2153,A,Circle of Apple Trees,,"greedy,sortings"
2152-H2,2152,H2,Victorious Coloring (Hard Version),3500,"data structures,greedy,schedules"
2152-H1,2152,H1,Victorious Coloring (Easy Version),2900,"dfs and similar,dp,greedy"
2152-G,2152,G,Query Jungle,2900,"data structures,implementation,math,matrices,trees"
2152-F,2152,F,Triple Attack,2500,"data structures,greedy"
2152-E,2152,E,Monotone Subsequence,2100,"constructive algorithms,graphs,greedy,interactive,math"
2152-D,2152,D,Division Versus Addition,1700,"games,greedy,math"
2152-C,2152,C,Triple Removal,1400,"data structures,greedy,math"
2152-B,2152,B,Catching the Krug,1300,games
2152-A,2152,A,Increase or Smash,800,"greedy,implementation"
2151-C,2151,C,Incremental Stay,1400,"greedy,implementation,math"
2151-A,2151,A,Incremental Subarray,800,"math,strings"
2150-G,2150,G,Counting Is Fun: The Finale,3500,"combinatorics,implementation"
2150-F,2150,F,Cycle Closing,3000,"constructive algorithms,graphs,implementation,shortest paths,trees"
2150-E2,2150,E2,Hidden Single (Version 2),2800,"binary search,divide and conquer,interactive,math,probabilities"
2150-E1,2150,E1,Hidden Single (Version 1),2600,"divide and conquer,interactive,math,probabilities,sortings"
2150-D,2150,D,Attraction Theory,2700,"combinatorics,dp,math"
2150-C,2150,C,Limited Edition Shop,2100,"data structures,dp"
2150-B,2150,B,Grid Counting,1700,"combinatorics,implementation,math"
2150-A,2150,A,Incremental Path,1300,"data structures,hashing,implementation"
2149-G,2149,G,Buratsuta 3,2100,"binary search,brute force,data structures,divide and conquer,probabilities"
2149-F,2149,F,Nezuko in the Clearing,1900,"binary search,math,ternary search"
2149-E,2149,E,Hidden Knowledge of the Ancients,1500,"data structures,two pointers"
2149-D,2149,D,A and B,1200,strings
2149-C,2149,C,MEX rose,900,greedy
2149-B,2149,B,Unconventional Pairs,800,"greedy,sortings"
2149-A,2149,A,Be Positive,800,math
2148-G,2148,G,Farmer John's Last Wish,1900,"binary search,data structures,math,number theory"
2148-F,2148,F,Gravity Falls,1800,"greedy,implementation,sortings"
2148-E,2148,E,Split,1200,"binary search,data structures,two pointers"
2148-D,2148,D,Destruction of the Dandelion Fields,1000,"constructive algorithms,greedy,sortings"
2148-C,2148,C,Pacer,900,"greedy,math"
2148-B,2148,B,Lasers,800,geometry
2148-A,2148,A,Sublime Sequence,800,"brute force,hashing,math"
2147-I2,2147,I2,Longest Increasing Path (Hard Version),3500,"constructive algorithms,math"
2147-I1,2147,I1,Longest Increasing Path (Easy Version),3300,"constructive algorithms,math"
2147-H,2147,H,Maxflow GCD Coloring,3500,"constructive algorithms,flows,graphs"
2147-G,2147,G,Modular Tetration,3100,"combinatorics,math,number theory"
2147-F,2147,F,Exchange Queries,2800,"combinatorics,data structures,greedy"
2147-E,2147,E,Maximum OR Popcount,2300,"binary search,bitmasks,brute force,data structures,greedy"
2147-D,2147,D,Game on Array,1700,"games,greedy"
2147-C,2147,C,Rabbits,1500,"constructive algorithms,dp,greedy,implementation"
2147-B,2147,B,Multiple Construction,1000,constructive algorithms
2147-A,2147,A,Shortest Increasing Path,800,"constructive algorithms,greedy"
2146-F,2146,F,Bubble Sort,2900,"brute force,combinatorics,dp"
2146-E,2146,E,Yet Another MEX Problem,2300,"brute force,constructive algorithms,data structures,divide and conquer,greedy,hashing"
2146-D2,2146,D2,Max Sum OR (Hard Version),2000,"bitmasks,constructive algorithms,divide and conquer,greedy"
2146-D1,2146,D1,Max Sum OR (Easy Version),1500,"bitmasks,constructive algorithms,divide and conquer,greedy,trees"
2146-C,2146,C,Wrong Binary Search,1300,"binary search,constructive algorithms"
2146-B,2146,B,Merging the Sets,1100,"greedy,implementation"
2146-A,2146,A,Equal Occurrences,800,"brute force,greedy,implementation"
2145-G,2145,G,Cost of Coloring,2900,"combinatorics,divide and conquer,dp,fft,math"
2145-F,2145,F,Long Journey,2500,"dfs and similar,divide and conquer,dp,graphs,greedy,math,matrices,number theory"
2145-E,2145,E,Predicting Popularity,2100,"binary search,data structures,greedy,sortings"
2145-D,2145,D,Inversion Value of a Permutation,1800,"constructive algorithms,dfs and similar,dp"
2145-C,2145,C,Monocarp's String,1300,"binary search,greedy,strings"
2145-B,2145,B,Deck of Cards,1000,"greedy,implementation"
2145-A,2145,A,Candies for Nephews,800,math
2144-F,2144,F,Bracket Groups,2700,"brute force,constructive algorithms,dp,string suffix structures,strings"
2144-E2,2144,E2,Looking at Towers (difficult version),2500,"combinatorics,data structures,dp"
2144-E1,2144,E1,Looking at Towers (easy version),2200,"combinatorics,dp"
2144-D,2144,D,Price Tags,1800,"brute force,dp,math"
2144-C,2144,C,Non-Descending Arrays,1300,"combinatorics,dp,math"
2144-B,2144,B,Maximum Cost Permutation,1000,"constructive algorithms,greedy"
2144-A,2144,A,Cut the Array,800,"brute force,constructive algorithms,math,number theory"
2143-F,2143,F,Increasing Xor,2700,"bitmasks,data structures,math"
2143-E,2143,E,Make Good,2400,"constructive algorithms,greedy,math,strings"
2143-D2,2143,D2,Inversion Graph Coloring (Hard Version),2200,"binary search,combinatorics,data structures,dp,two pointers"
2143-D1,2143,D1,Inversion Graph Coloring (Easy Version),1800,"combinatorics,data structures,dp,greedy,two pointers"
2143-C,2143,C,Max Tree,1300,"constructive algorithms,dfs and similar,graphs,greedy"
2143-B,2143,B,Discounts,1000,"greedy,sortings,two pointers"
2143-A,2143,A,All Lengths Subtraction,800,"brute force,two pointers"
2141-I,2141,I,Color the Tree,3500,*special
